gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target
1772059083.404000,774.0,787.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.6820,24
1772059083.505000,777.0,795.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.5810,1
1772059083.604000,778.0,793.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.4820,1
1772059083.704000,782.0,792.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.3820,1
1772059083.804000,781.0,825.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.2820,1
1772059083.905000,780.0,851.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.1810,1
1772059084.004000,792.0,849.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.0820,1
1772059084.115000,797.0,845.0,high,frame_000000_1772059084086.jpg,1772059084.086000,0.0290,1
1772059084.205000,798.0,843.0,high,frame_000001_1772059084210.jpg,1772059084.210000,0.0050,1
1772059084.305000,789.0,844.0,high,frame_000002_1772059084324.jpg,1772059084.324000,0.0190,1
1772059084.405000,775.0,845.0,high,frame_000003_1772059084439.jpg,1772059084.439000,0.0340,1
1772059084.510000,778.0,846.0,high,frame_000004_1772059084554.jpg,1772059084.554000,0.0440,1
1772059084.605000,776.0,847.0,high,frame_000004_1772059084554.jpg,1772059084.554000,0.0510,1
1772059084.708000,1023.0,680.0,high,frame_000005_1772059084663.jpg,1772059084.663000,0.0450,10
1772059084.806000,1048.0,630.0,high,frame_000006_1772059084780.jpg,1772059084.780000,0.0260,3
1772059084.904000,1060.0,577.0,high,frame_000007_1772059084896.jpg,1772059084.896000,0.0080,3
1772059085.005000,1064.0,572.0,high,frame_000008_1772059085019.jpg,1772059085.019000,0.0140,3
1772059085.104000,1073.0,576.0,high,frame_000009_1772059085132.jpg,1772059085.132000,0.0280,3
1772059085.206000,1074.0,580.0,high,frame_000010_1772059085252.jpg,1772059085.252000,0.0460,3
1772059085.305000,1067.0,593.0,high,frame_000010_1772059085252.jpg,1772059085.252000,0.0530,3
1772059085.404000,1060.0,603.0,high,frame_000011_1772059085364.jpg,1772059085.364000,0.0400,3
1772059085.505000,1054.0,607.0,high,frame_000012_1772059085480.jpg,1772059085.480000,0.0250,3
1772059085.605000,1047.0,600.0,high,frame_000013_1772059085594.jpg,1772059085.594000,0.0110,3
1772059085.704000,1037.0,590.0,high,frame_000014_1772059085709.jpg,1772059085.709000,0.0050,3
1772059085.804000,1012.0,788.0,high,frame_000015_1772059085824.jpg,1772059085.824000,0.0200,1
1772059085.904000,996.0,778.0,high,frame_000016_1772059085944.jpg,1772059085.944000,0.0400,1
1772059086.005000,988.0,668.0,high,frame_000017_1772059086054.jpg,1772059086.054000,0.0490,3
1772059086.104000,991.0,623.0,high,frame_000017_1772059086054.jpg,1772059086.054000,0.0500,3
1772059086.205000,982.0,637.0,high,frame_000018_1772059086172.jpg,1772059086.172000,0.0330,3
1772059086.304000,978.0,651.0,high,frame_000019_1772059086285.jpg,1772059086.285000,0.0190,3
1772059086.408000,977.0,662.0,high,frame_000020_1772059086400.jpg,1772059086.400000,0.0080,3
1772059086.504000,973.0,688.0,high,frame_000021_1772059086519.jpg,1772059086.519000,0.0150,10
1772059086.605000,974.0,733.0,high,frame_000022_1772059086634.jpg,1772059086.634000,0.0290,2
1772059086.708000,987.0,766.0,high,frame_000023_1772059086753.jpg,1772059086.753000,0.0450,1
1772059086.807000,989.0,761.0,high,frame_000023_1772059086753.jpg,1772059086.753000,0.0540,1
1772059086.905000,990.0,717.0,high,frame_000024_1772059086873.jpg,1772059086.873000,0.0320,2
1772059087.004000,1007.0,611.0,high,frame_000025_1772059086990.jpg,1772059086.990000,0.0140,3
1772059087.106000,1021.0,600.0,high,frame_000026_1772059087104.jpg,1772059087.104000,0.0020,3
1772059087.208000,1038.0,619.0,high,frame_000027_1772059087220.jpg,1772059087.220000,0.0120,3
1772059087.305000,1048.0,657.0,high,frame_000028_1772059087338.jpg,1772059087.338000,0.0330,3
1772059087.405000,1052.0,684.0,high,frame_000029_1772059087449.jpg,1772059087.449000,0.0440,10
1772059087.505000,1049.0,685.0,high,frame_000029_1772059087449.jpg,1772059087.449000,0.0560,2
1772059087.604000,1035.0,682.0,high,frame_000030_1772059087568.jpg,1772059087.568000,0.0360,10
1772059087.704000,1020.0,677.0,high,frame_000031_1772059087683.jpg,1772059087.683000,0.0210,3
1772059087.804000,1017.0,674.0,high,frame_000032_1772059087797.jpg,1772059087.797000,0.0070,3
1772059087.907000,1020.0,675.0,high,frame_000033_1772059087910.jpg,1772059087.910000,0.0030,3
1772059088.004000,1024.0,675.0,high,frame_000034_1772059088025.jpg,1772059088.025000,0.0210,3
1772059088.105000,1029.0,672.0,high,frame_000035_1772059088142.jpg,1772059088.142000,0.0370,3
1772059088.205000,1030.0,661.0,high,frame_000036_1772059088265.jpg,1772059088.265000,0.0600,3
1772059088.308000,1031.0,654.0,high,frame_000036_1772059088265.jpg,1772059088.265000,0.0430,3
1772059088.405000,1026.0,649.0,high,frame_000037_1772059088378.jpg,1772059088.378000,0.0270,3
1772059088.508000,1022.0,648.0,high,frame_000038_1772059088494.jpg,1772059088.494000,0.0140,3
1772059088.606000,1004.0,591.0,high,frame_000039_1772059088608.jpg,1772059088.608000,0.0020,3
1772059088.704000,1006.0,434.0,high,frame_000040_1772059088722.jpg,1772059088.722000,0.0180,3
1772059088.804000,1005.0,392.0,high,frame_000041_1772059088838.jpg,1772059088.838000,0.0340,3
1772059088.905000,1002.0,377.0,high,frame_000042_1772059088951.jpg,1772059088.951000,0.0460,3
1772059089.008000,986.0,594.0,high,frame_000042_1772059088951.jpg,1772059088.951000,0.0570,3
1772059089.105000,992.0,595.0,high,frame_000043_1772059089069.jpg,1772059089.069000,0.0360,3
1772059089.205000,999.0,365.0,high,frame_000044_1772059089182.jpg,1772059089.182000,0.0230,3
1772059089.305000,986.0,364.0,high,frame_000045_1772059089296.jpg,1772059089.296000,0.0090,3
1772059089.404000,977.0,361.0,high,frame_000046_1772059089409.jpg,1772059089.409000,0.0050,3
1772059089.505000,976.0,462.0,high,frame_000047_1772059089528.jpg,1772059089.528000,0.0230,3
1772059089.605000,985.0,558.0,high,frame_000048_1772059089648.jpg,1772059089.648000,0.0430,9
1772059089.705000,996.0,616.0,high,frame_000048_1772059089648.jpg,1772059089.648000,0.0570,9
1772059089.804000,999.0,642.0,high,frame_000049_1772059089764.jpg,1772059089.764000,0.0400,9
1772059089.909000,997.0,654.0,high,frame_000050_1772059089883.jpg,1772059089.883000,0.0260,9
1772059090.006000,992.0,669.0,high,frame_000051_1772059090001.jpg,1772059090.001000,0.0050,9
1772059090.104000,989.0,673.0,high,frame_000052_1772059090118.jpg,1772059090.118000,0.0140,9
1772059090.204000,995.0,673.0,high,frame_000053_1772059090230.jpg,1772059090.230000,0.0260,9
1772059090.305000,1003.0,673.0,high,frame_000054_1772059090346.jpg,1772059090.346000,0.0410,9
1772059090.405000,1008.0,675.0,high,frame_000054_1772059090346.jpg,1772059090.346000,0.0590,9
1772059090.505000,1018.0,698.0,high,frame_000055_1772059090466.jpg,1772059090.466000,0.0390,2
1772059090.605000,1021.0,752.0,high,frame_000056_1772059090581.jpg,1772059090.581000,0.0240,2
1772059090.707000,1810.0,870.0,high,frame_000057_1772059090699.jpg,1772059090.699000,0.0080,1
1772059090.804000,0.0,0.0,lost,frame_000058_1772059090813.jpg,1772059090.813000,0.0090,3
1772059090.904000,2469.0,686.0,medium,frame_000059_1772059090931.jpg,1772059090.931000,0.0270,10
1772059091.004000,2489.0,663.0,medium,frame_000060_1772059091046.jpg,1772059091.046000,0.0420,9
1772059091.105000,2251.0,640.0,medium,frame_000061_1772059091161.jpg,1772059091.161000,0.0560,9
1772059091.205000,1920.0,634.0,medium,frame_000061_1772059091161.jpg,1772059091.161000,0.0440,10
1772059091.306000,1920.0,0.0,lost,frame_000062_1772059091275.jpg,1772059091.275000,0.0310,11
1772059091.405000,1026.0,581.0,high,frame_000063_1772059091387.jpg,1772059091.387000,0.0180,9
1772059091.506000,990.0,588.0,high,frame_000064_1772059091503.jpg,1772059091.503000,0.0030,9
1772059091.605000,961.0,587.0,high,frame_000065_1772059091620.jpg,1772059091.620000,0.0150,9
1772059091.704000,982.0,430.0,high,frame_000066_1772059091734.jpg,1772059091.734000,0.0300,3
1772059091.805000,992.0,308.0,high,frame_000067_1772059091846.jpg,1772059091.846000,0.0410,3
